ingredient,function,risk_level
"1,2-hexanediol",สารกันเสียอ่อนๆ และช่วยให้ความชุ่มชื้น,Safe
3-o-ethyl ascorbic acid,อนุพันธ์วิตามินซี ซึมลึก กระจ่างใสไว,Safe
acetyl hexapeptide-8,โบท็อกซ์แบบทา ช่วยลดริ้วรอยจากการแสดงอารมณ์,Safe
acrylates/c10-30 alkyl acrylate crosspolymer,สารสร้างเนื้อเจล ซึมไว ไม่เหนอะหนะ,Safe
adenosine,พลังงานเซลล์ผิว ช่วยลดริ้วรอยร่องลึก,Safe
alcohol denat,แอลกอฮอล์ช่วยให้แห้งไว แต่ทำให้ผิวแห้งกร้านและระคายเคือง,Warning
allantoin,ลดการระคายเคือง ปลอบประโลมผิว,Safe
aloe barbadensis leaf extract,สารสกัดว่านหางจระเข้ เติมน้ำให้ผิวและลดรอยแดง,Safe
aloe barbadensis leaf juice,สารสกัดว่านหางจระเข้ เติมความชุ่มชื้น ลดอาการแสบร้อน,Safe
alpha-arbutin,อัลฟ่าอาร์บูติน ยับยั้งเม็ดสีเมลานิน ลดฝ้ากระ,Safe
aminomethyl propanol,สารปรับค่า pH (อาจระคายเคืองในผิวบอบบางมาก),Warning
ammoniated mercury,สารประกอบปรอท (อันตรายต่อไตและระบบประสาท),Danger
arbutin,อาร์บูติน (แบบธรรมดา) ลดเม็ดสีเมลานิน,Safe
argania spinosa kernel oil,น้ำมันอาร์แกน ให้ความชุ่มชื้นสูง ไม่อุดตัน,Safe
ascorbic acid,วิตามินซีบริสุทธิ์ กระจ่างใส แต่อาจระคายเคือง,Warning
ascorbyl glucoside,อนุพันธ์วิตามินซี เสถียรสูง ลดความหมองคล้ำ,Safe
asiatic acid,สารสกัดจากใบบัวบก เสริมเกราะป้องกันผิวให้แข็งแรง,Safe
asiaticoside,สารสกัดบริสุทธิ์จากใบบัวบก สมานแผลและลดรอยดำ,Safe
astaxanthin,สุดยอดสารต้านอนุมูลอิสระจากสาหร่ายแดง ลดริ้วรอย,Safe
avena sativa kernel extract,สารสกัดข้าวโอ๊ต ลดอาการคันและระคายเคือง,Safe
avobenzone,สารกันแดด UVA ประสิทธิภาพสูง (อาจระคายเคือง),Warning
azelaic acid,ลดสิวอักเสบ รอยแดง และการอุดตัน,Safe
bakuchiol,สารสกัดแทนเรตินอล อ่อนโยน ไม่ระคายเคือง,Safe
behentrimonium chloride,สารบำรุงในครีมนวดผม (ระคายเคืองถ้าโดนผิวหน้านาน),Warning
